Row,Address,Postcode,Town/City,Property Type,Category,Block / Notes,Floor Area Sqm (EPC),Zoopla Low,Zoopla Central,Zoopla High,Moov Raw Central,Moov Conservative Central,Target Ratio Min,Target Ratio Max,Moov/Zoopla Central Ratio,% Diff vs Zoopla,Row Status,Base £/sqm,P25 £/sqm,Median £/sqm,Block Penalty,Small Unit Penalty,Confidence Penalty,CV Penalty,Confidence Score,Coefficient of Variation (CV),isExLocalAuthority,exLAScore,Comment
29,"15 Longhayes Court, Longhayes Avenue, Romford",RM6 5HJ,Romford,Flat,Private Commuter Flat,Private commuter flat,,234000,260000,286000,DESK_REV,,0.9,0.97,0.66,-34%,DESK,2838,2563,3480,,,7.0%,5.0%,45,0.31,FALSE,2,Prior flag: No comparable sales data found for this postcode
31,"12 Cathedral Walk, Chelmsford",CM1 1NX,Chelmsford,Flat,Private Commuter Flat,Private commuter flat,,211000,222000,233000,DESK_REV,,0.9,0.97,,,DESK,,,,,,,,,,,,Prior flag: Only 1 valid comparable(s) found within 1 mile radius (minimum 3 required)
32,"10 Milbank, Chelmer Village, Chelmsford",CM2 6YX,Chelmsford,House,Standard House,Standard suburban house,,494000,520000,546000,DESK_REV,,0.85,0.95,0.52,-48%,DESK,5574,5565,5593,0%,6.0%,5.0%,0%,75,0.05,FALSE,0,Prior flag: No comparable sales data found for this postcode
33,"34 Wells Crescent, Marconi Plaza, Chelmsford",CM1 1GN,Chelmsford,Flat,Private Commuter Flat,Private commuter flat,,225000,237000,249000,ADDR_FAIL,,0.9,0.97,0.53,-47%,ADDR_FAIL,3210,2896,3942,0%,10.0%,8.0%,3.0%,60,0.22,FALSE,0,"Address not found: Could not match house number ""34 wells crescent"" to any address at CM1 1GN"
34,"21 Waterloo Chambers, Waterloo Lane, Chelmsford",CM1 1BD,Chelmsford,Flat,Private Commuter Flat,Private commuter flat,,320000,355000,391000,DESK_REV,,0.9,0.97,,,DESK,,,,,,,,,,,,Prior flag: Only 1 valid comparable(s) found within 1 mile radius (minimum 3 required)
35,"5 Hutton Road, Shenfield, Brentwood",CM15 8LA,Brentwood,Flat,Private Commuter Flat,Private commuter flat,,241000,253000,266000,DESK_REV,,0.9,0.97,,,DESK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode
36,"11 Kensington Place, Priests Lane, Brentwood",CM15 8GA,Brentwood,Flat,Private Commuter Flat,Private commuter flat,,402000,423000,444000,255720,235931,0.9,0.97,0.56,-44%,CHECK,4033,3935,4262,,,2.5%,,60,0.14,FALSE,,No comps for postcode
37,"29 St Kildas Road, Brentwood",CM15 9EX,Brentwood,House,Standard House,Standard suburban house,,510000,567000,624000,DESK_REV,,0.85,0.95,0.66,-34%,DESK,5852,5696,6216,0%,0%,8.0%,0%,60,0.17,FALSE,1,Prior flag: No comparable sales data found for this postcode
38,"5 The Clock Tower, The Galleries, Warley, Brentwood",CM14 5GF,Brentwood,Flat,Private Commuter Flat,Private commuter flat,,479000,504000,529000,ADDR_FAIL,,0.9,0.97,,,ADDR_FAIL,,,,,,,,,,,,"Address not found: Could not match house number ""5 the clock tower"" to any address at CM14 5GF"
39,"10 Hepworth House, Edinburgh Gate, Harlow",CM20 2UB,Harlow,Flat,Private Commuter Flat,Private commuter flat,,314000,330000,347000,245520,223162,0.9,0.97,0.68,-32%,CHECK,2832,2731,3069,,,1.5%,,70,0.12,FALSE,,Ratio too low
